Organization,Year,Employees,Employees_std,Compute_Price,Compute_Price_std,Wage,Wage_std,Local_Wage_CX,Local_Wage_PPP,Effective_Tax_Rate,Training_Compute_PFLOP,Training_Compute_PFLOP_std,Research_Compute_PFLOP,Research_Compute_PFLOP_std,Annual_Compute_PFLOP,Annual_Compute_PFLOP_std,Hires,Researcher_Fraction,Researcher_Hires,Researchers_Corp,AGI_Researchers_Corp,AGI_Researcher_Increase
DeepSeek,2023,118.0,0.0,14.012646635887318,2.4041754307080634,72381.0,27286.0,20613.636,74559.96,32.400815,2202069125.377514,11947907587.413366,734023041.7925045,3982635862.471122,2936092167.170018,12594200416.477856,118.0,0.5,59.0,59.0,47.2,47.2
DeepSeek,2024,153.0,0.0,12.976652808319832,2.554208862575031,70400.81870229008,15935.693702290077,19465.35245801527,72995.07171755725,32.76778155339806,6482200000.0,0.0,2160733333.333333,0.0,8642933333.333332,0.0,35.0,0.5,17.5,76.5,61.2,14.0
OpenAI,2015,53.0,0.0,197.0842632678835,33.44112889286558,131204.84852320675,19930.208438818565,79422.56202531645,79422.56202531645,30.02410688459752,2808.4002759614314,12681.963476334113,936.133425320477,4227.321158778038,3744.533701281908,16909.28463511215,53.0,0.8,42.400000000000006,42.400000000000006,21.200000000000003,21.200000000000003
OpenAI,2016,66.0,0.0,165.42760348047997,22.46118841185286,113973.035,16348.424583333332,84239.39333333333,84239.39333333333,30.124979963092173,19440.12822392693,65405.76360572902,6480.042741308977,21801.92120190967,25920.17096523591,87207.6848076387,13.0,0.8,10.4,52.800000000000004,26.400000000000002,5.199999999999999
OpenAI,2017,80.0,0.0,68.58765076958596,21.84658696330947,138291.0350877193,20135.560587515298,86429.87678498572,86429.87678498572,30.215584802927765,453457.14169440017,0.0,151152.38056480006,0.0,604609.5222592002,0.0,14.0,0.8,11.200000000000001,64.0,32.0,5.599999999999998
OpenAI,2018,93.0,0.0,56.90644453636679,15.089714817052998,125392.9689366786,17859.715651135004,91494.94225408204,91494.94225408204,26.500445123043495,453457.14169440017,0.0,151152.38056480006,0.0,604609.5222592002,0.0,13.0,0.8,10.4,74.4,37.2,5.200000000000003
OpenAI,2019,117.0,0.0,47.50030109354479,10.197875308654432,125121.23582323037,25024.24716464607,94682.21822448184,94682.21822448184,26.54471935745,61440000.00000076,0.0,20480000.000000253,0.0,81920000.00000101,0.0,24.0,0.8,19.200000000000003,93.60000000000001,46.800000000000004,9.600000000000001
OpenAI,2020,157.0,0.0,26.721844194098903,3.0165644723946414,107139.48995363212,19285.108191653784,96364.31839258112,96364.31839258112,27.1574941124,266932500.0,0.0,88977500.0,0.0,355910000.0,0.0,40.0,0.8,32.0,125.60000000000001,81.64000000000001,34.84000000000001
OpenAI,2021,217.0,0.0,13.064702140689418,1.5451693639889832,196761.9926199262,39352.39852398524,98340.51955719556,98340.51955719556,26.917324639999997,266932500.0,0.0,88977500.0,0.0,355910000.0,0.0,60.0,0.8,48.0,173.60000000000002,112.84000000000002,31.200000000000003
OpenAI,2022,297.0,0.0,11.34420470771684,1.3870696920059,180717.1848308849,32529.09326955928,97371.79330372396,97371.79330372396,27.477998,2428759579.725,0.0,809586526.5749999,0.0,3238346106.2999997,0.0,80.0,0.8,64.0,237.60000000000002,190.08000000000004,77.24000000000002
OpenAI,2023,996.0,0.0,12.41378741378743,1.6689620449730984,280000.0,50400.0,97469.0,97469.0,26.576449000000004,32250000000.0,0.0,10750000000.0,0.0,43000000000.0,0.0,699.0,0.5,349.5,587.1,469.68000000000006,279.6
OpenAI,2024,4469.0,0.0,12.735593234161946,1.5590063324951808,330173.07506361324,68970.356870229,97062.06870229008,97062.06870229008,26.28267427184466,34095015000.0,0.0,11365005000.0,0.0,45460020000.0,0.0,3473.0,0.5,1736.5,2323.6,1858.88,1389.2
xAI,2024,100.0,0.0,4.897158073255185,0.933759764628976,206314.07569974556,116393.65553435114,,,,22199999999.999996,0.0,7399999999.999999,0.0,29599999999.999996,0.0,100.0,0.5,50.0,50.0,45.0,45.0
